Title,Address,Hours,Latitude,Longitude,Googlemap
Beaconsfield,West Tamar Council Chambers West Street Beaconsfield TAS 7270,"Monday,Wednesday and Friday 9.30am - 4.30pm Closed Tuesday and Thursday",-41.201187,146.814436,https://goo.gl/maps/3RWt5
Bridgewater,Bridgewater LINC Green Point Road Bridgewater TAS 7030 (Behind the Civic Centre),Monday to Friday 9.00am - 4.30pm,-42.739384,147.243568,https://goo.gl/maps/f8ffU
Burnie,Reece House 48 Cattley Street Burnie TAS 7320,Monday to Friday 8.45am - 4.45pm,-41.052159,145.904697,https://goo.gl/maps/0NJAX
Campbell Town,Town Hall Main Road Campbell Town TAS 7210,Monday to Friday 11.00am - 4.00pm,-41.926996,147.494281,https://goo.gl/maps/0NJAX
Currie,15 George Street Currie King Island TAS 7256,"Monday,Tuesday,Thursday and Friday 11.00am - 4.00pm,Closed Wednesday",-39.92878,143.853467,https://goo.gl/maps/boKYu
Deloraine,8 Emu Bay Road Deloraine TAS 7304,Monday to Friday 9.30am - 1.00pm and 1.30pm - 4.30pm,-41.525134,146.656387,https://goo.gl/maps/D99ZZ
Devonport,21 Oldaker Street Devonport TAS 7310,Monday to Friday 8.45am - 4.45pm,-41.176649,146.359187,https://goo.gl/maps/Br459
George Town,George Town Community Hub 12 Elizabeth Street George Town TAS 7253,Monday to Friday 10.00am - 4.30pm,-41.107197,146.821179,https://goo.gl/maps/21YmL
Glenorchy,4 Terry Street Glenorchy TAS 7010,Monday to Friday 9.00am - 5.00pm,-42.834527,147.275432,https://goo.gl/maps/KA3XX
Hobart,134 Macquarie Street Hobart TAS 7000,Monday to Friday 9.00am - 5.00pm,-42.884718,147.328135,https://goo.gl/maps/qAuh6
Huonville,Huon LINC Building 1 Skinner Drive Huonville TAS 7109,Monday to Friday 9.00am - 4.30pm,-43.031262,147.049529,https://goo.gl/maps/kzNp3
Kingston,Shop 87A Channel Court Shopping Centre Kingston TAS 7051,Monday to Friday 9.00am - 4.30pm,-42.976393,147.30965,https://goo.gl/maps/OF1mU
Launceston,Henty House 1 Civic Square Launceston TAS 7250,Monday to Friday 8.30am - 4.30pm,-41.436404,147.136332,https://goo.gl/maps/QRt8u
Longford,"Shop 6, 9 Wellington St Longford TAS 7301",Monday to Friday 9.00am - 4.30pm,-41.588314,147.119995,https://goo.gl/maps/51vaf
New Norfolk,14 Bathurst Street New Norfolk TAS 7140,Monday to Friday 9.00am - 4.30pm,-42.780216,147.067195,https://goo.gl/maps/cfiyQ
Oatlands,71 High Street Oatlands TAS 7120,Monday to Friday 11.00am - 4.00pm,-42.299936,147.371995,https://goo.gl/maps/CJXdJ
Queenstown,9-13 Driffield Street Queenstown TAS 7467,Monday to Friday 9.30am - 4.30pm,-42.079722,145.554155,https://goo.gl/maps/QQjH8
Rosny,LINC Bligh Street Rosny Park TAS 7018,Monday to Friday 9.00am - 5.00pm,-42.863641,147.370616,https://goo.gl/maps/HdJDx
Scottsdale,51 King Street Scottsdale TAS 7260,Monday to Friday 10.00am - 4.30pm,-41.162198,147.515492,https://goo.gl/maps/xcRZF
Sheffield,64 High Street Sheffield TAS 7306,Monday to Friday 9.30am - 12.30pm and 1.00pm - 4.00pm,-41.38096,146.326086,https://goo.gl/maps/vqfRr
Smithton,134 Nelson Street Smithton TAS 7330,Monday to Friday 9.00am - 4.30pm,-40.842312,145.123016,https://goo.gl/maps/ihhlA
Sorell,"Shop 3, 5 Fitzroy Street Sorell TAS 7172",Monday to Friday 9.00am - 4.30pm,-42.783171,147.563129,https://goo.gl/maps/750VJ
St. Helens,65 Cecilia Street St Helens TAS 7216,Monday to Friday 10.00am - 4.30pm,-41.32046,148.249255,https://goo.gl/maps/04gBc
Triabunna,17 Vicary Street Triabunna TAS 7190,Monday to Friday 10.00am - 4.00pm,-42.507782,147.913774,https://goo.gl/maps/IWAIY
Ulverstone,54-56 King Edward Street Ulverstone TAS 7315,Monday to Friday 9.00am - 4.30pm,-41.158542,146.171473,https://goo.gl/maps/AKT8O
Whitemark,Lagoon Road Whitemark Flinders Island TAS 7255,"Monday to Wednesday 11.00am - 3.00pm, Thursday and Friday 12.00pm to 4.00pm",-40.119512,148.016752,https://goo.gl/maps/eqmv7
Wynyard,72 Goldie Street Wynyard TAS 7325,Monday to Friday 9.30am to 4.00pm,-40.989209,145.728836,https://goo.gl/maps/kONZC
